,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,53.0,blue-collar,married,secondary,no,0.0,no,yes,cellular,14.0,nov,139.0,2.0,-1,0.0,unknown,no
1,32.0,blue-collar,single,secondary,no,1164.0,yes,no,cellular,19.0,jul,24.0,2.0,-1,0.0,unknown,no
2,51.0,management,married,secondary,no,1478.0,no,no,cellular,19.0,-1,218.0,1.0,-1,0.0,unknown,no
3,48.0,blue-collar,married,secondary,no,24.0,no,no,telephone,30.0,mayan,130.0,1.0,-1,0.0,unknown,"yes, duration is 130"
4,57.0,management,married,secondary,no,1592.0,yes,no,cellular,9.0,nov,3171.0,1.0,-1,0.0,unknown,"no, duration is 659"
5,36.0,blue-collar,married,secondary,no,631.0,yes,no,cellular,13.0,feb,462.0,4.0,-1,0.0,unknown,no
6,29.0,blue-collar,single,secondary,no,-30.0,yes,no,cellular,17.0,may,432.0,2.0,-1,0.0,unknown,no
7,45.0,blue-collar,married,secondary,no,1028.0,yes,"no, duration is 965",cellular,13.0,nov,38.0,2.0,-1,0.0,unknown,no
8,37.0,blue-collar,married,secondary,no,-0.0,no,no,cellular,20.0,jul,948.0,1.0,-1,0.0,unknown,no
9,32.0,blue-collar,married,primary,no,-205.0,yes,no,cellular,12.0,nov,662.0,3.0,-1,0.0,unknown,no
10,32.0,management,married,secondary,no,763.0,no,"no, poutcome is unknown, balance is 554",cellular,13.0,nov,33.0,4.0,-1,0.0,unknown,no
11,33.0,blue-collar,divorced,secondary,no,830.0,yes,no,cellular,19.0,nov,116.0,3.0,-1,0.0,unknown,no
12,36.0,blue-collar,married,tertiary,no,1058.0,yes,"no, default is no, duration is 732",cellular,25.0,aug,82.0,3.0,-1,0.0,unknown,no
13,37.0,"blue-collar, balance is 867",married,secondary,no,664.0,yes,"no, duration is 139","cellular, __index_level_0__ is 29479, job is blue-collar, education is secondary",18.0,feb,857.0,1.0,-1,0.0,unknown,yes
14,52.0,"blue-collar, balance is 1479",married,secondary,no,1111.0,yes,no,"cellular, education is secondary, __index_level_0__ is 37013",21.0,may,78.0,2.0,-1,0.0,unknown,no
15,33.0,management.duration is 1012,married,primary,"no, __index_level_0__ is 36126",24.0,yes,no,cellular,16.0,may,491.0,6.0,-1,0.0,unknown,no
16,49.0,management,single,secondary,no,2181.0,yes,no,cellular,18.0,"may, __index_level_0__ is 39483",1233.0,4.0,-1,0.0,unknown,no
17,40.0,blue-collar,divorced,secondary,no,1082.0,yes,no,cellular,11.0,may,464.0,1.0,-1,0.0,unknown,no
18,34.0,blue-collar,"married, loan is no, age is 49, balance is -270",tertiary,no,472.0,"yes, __index_level_0__ is 26354",no,cellular,21.0,may,873.0,2.0,-1,0.0,unknown,no
19,33.0,blue-collar,single,tertiary,no,-1.0,yes,no,unknown,16.0,nov,43.0,1.0,-1,0.0,unknown,no
20,40.0,blue-collar,married,tertiary,no,0.0,yes,no,cellular,9.0,"jul, balance is 3130",78.0,1.0,-1,0.0,unknown,no
21,30.0,blue-collar,married,"secondary, default is no, __index_level_0__ is 39753",no,1827.0,no,no,unknown,26.0,may,71.0,2.0,-1,0.0,unknown,no
22,32.0,"management, day is 20, duration is 1064",married,tertiary,no,431.0,yes,no,cellular,14.0,jun,30.0,1.0,-1,0.0,failure,yes
23,31.0,management,married,secondary,no,854.0,yes,no,cellular,17.0,nov,168.0,1.0,-1,0.0,"unknown, __index_level_0__ is 9052, loan is no, duration is 728",no
24,53.0,blue-collar,married,secondary,no,925.0,yes,no,unknown,16.0,aug,731.0,1.0,-1,0.0,unknown,no
25,16.0,management,married,primary,no,623.0,no,no,cellular,25.0,nov,43.0,1.0,-1,0.0,unknown,no
26,31.0,management,divorced,primary,no,1054.0,no,no,cellular,23.0,jul,171.0,5.0,-1,0.0,unknown,"no, campaign is 1, __index_level_0__ is 39552, poutcome is unknown, balance is 1261"
27,49.0,blue-collar,married,"secondary, duration is 573",no,1264.0,yes,no,cellular,5.0,jun,548.0,2.0,-1,0.0,unknown,no
28,34.0,management,married,secondary,no,0.0,no,no,cellular,20.0,jun,71.0,1.0,-1,0.0,unknown,no
29,26.0,blue-collar,married,secondary,no,4437.0,yes,no,cellular,12.0,jul,131.0,4.0,-1,0.0,unknown,no
30,45.0,blue-collar,single,secondary,no,0.0,no,no,cellular,17.0,jul,107.0,3.0,-1,0.0,unknown,no
31,30.0,management,divorced,secondary,no,3813.0,yes,"no, __index_level_0__ is 33384",unknown,26.0,jun,1220.0,2.0,-1,0.0,unknown,"yes, loan is no, balance is 874"
32,29.0,management,single,tertiary,no,1874.0,yes,no,"unknown, balance is 1718",21.0,aug,93.0,2.0,-1,0.0,unknown,yes
33,50.0,management,married,secondary,no,40.0,no,yes,cellular,15.0,aug,463.0,2.0,-1,0.0,unknown,"no, balance is 714"
34,49.0,blue-collar,married,tertiary,no,2189.0,yes,no,cellular,18.0,jun,507.0,2.0,-1,0.0,unknown,"no, duration is 73"
35,32.0,blue-collar,single,secondary,no,-1.0,no,no,cellular,11.0,nov,2634.0,2.0,-1,0.0,unknown,no
