,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,40,blue-collar,married,secondary,no,239,yes,no,cellular,20,may,484,3,262,2,success,no
1,39,technician,single,secondary,no,56,yes,no,unknown,18,may,325,1,-1,0,unknown,no
2,32,management,married,tertiary,no,1258,no,no,cellular,3,aug,169,2,-1,0,unknown,no
3,28,management,single,tertiary,no,359,yes,no,unknown,12,may,1061,2,-1,0,unknown,no
4,33,blue-collar,single,secondary,no,-253,yes,no,unknown,20,may,192,1,-1,0,unknown,no
5,52,management,married,tertiary,no,7287,no,no,cellular,19,nov,31,2,184,2,failure,yes
6,48,blue-collar,married,secondary,no,322,yes,yes,cellular,18,jul,230,1,-1,0,unknown,no
7,28,management,married,tertiary,no,108,yes,no,cellular,7,may,342,1,-1,0,unknown,no
8,53,admin.,married,tertiary,no,-237,yes,no,cellular,20,jul,59,1,-1,0,unknown,no
9,46,retired,married,primary,no,1031,no,no,cellular,18,aug,121,1,-1,0,unknown,no
10,34,services,married,secondary,no,210,no,no,cellular,28,feb,94,6,-1,0,unknown,no
11,36,entrepreneur,married,secondary,no,132,no,no,cellular,23,jul,63,2,-1,0,unknown,no
12,47,blue-collar,divorced,secondary,no,1790,yes,no,cellular,3,feb,378,1,-1,0,unknown,no
13,34,technician,single,secondary,no,1428,no,no,unknown,7,may,270,4,-1,0,unknown,no
14,50,admin.,divorced,secondary,no,121,yes,no,unknown,29,nov,127,7,-1,0,unknown,no
15,37,unemployed,married,secondary,no,124,no,no,cellular,20,jun,288,1,-1,0,unknown,no
16,33,admin.,married,secondary,no,616,yes,no,cellular,29,feb,155,1,-1,0,unknown,no
17,44,management,married,tertiary,no,29,no,no,cellular,11,aug,160,4,-1,0,unknown,no
18,45,management,married,tertiary,no,1,no,no,cellular,19,aug,169,1,-1,0,unknown,no
19,42,technician,married,secondary,no,0,no,yes,cellular,12,aug,88,2,-1,0,unknown,no
20,42,management,married,tertiary,no,0,yes,no,unknown,22,may,130,1,-1,0,unknown,no
21,40,blue-collar,married,secondary,no,2494,yes,no,unknown,7,may,183,3,-1,0,unknown,no
22,39,management,married,tertiary,no,265,no,no,cellular,22,aug,63,1,-1,0,unknown,no
23,37,technician,married,secondary,no,362,yes,no,unknown,26,may,196,1,-1,0,unknown,yes
24,39,housemaid,single,secondary,no,231,no,no,unknown,14,may,41,2,-1,0,unknown,no
25,54,admin.,married,secondary,no,192,yes,no,unknown,25,may,79,2,-1,0,unknown,yes
26,30,blue-collar,married,primary,no,1531,no,no,cellular,6,aug,100,2,-1,0,unknown,no
27,25,admin.,married,secondary,no,0,yes,no,cellular,23,aug,185,2,-1,0,unknown,no
28,33,blue-collar,married,secondary,no,1,yes,no,cellular,18,jul,112,2,-1,0,unknown,no
29,33,blue-collar,married,primary,no,263,yes,no,cellular,12,jan,122,2,-1,0,unknown,no
30,54,admin.,married,secondary,no,1473,yes,no,unknown,19,may,60,4,-1,0,unknown,no
31,33,management,married,tertiary,no,1516,no,no,cellular,27,aug,82,1,-1,0,unknown,no
32,34,services,married,secondary,no,2,no,no,unknown,24,jun,102,1,-1,0,unknown,no
33,53,technician,married,secondary,no,231,yes,no,unknown,7,may,149,4,-1,0,unknown,no
34,48,blue-collar,married,primary,no,2074,yes,no,unknown,18,jun,244,2,-1,0,unknown,no
35,32,housemaid,single,tertiary,no,587,no,no,cellular,29,aug,150,2,-1,0,unknown,no
36,26,management,divorced,tertiary,no,962,no,no,cellular,16,aug,395,2,-1,0,unknown,no
37,34,management,married,tertiary,no,-275,no,no,cellular,5,aug,98,4,-1,0,unknown,no
38,40,management,single,tertiary,no,0,yes,no,unknown,27,jun,179,1,-1,0,unknown,yes
39,44,blue-collar,married,primary,no,2689,yes,no,unknown,13,may,241,3,-1,0,unknown,no
40,50,technician,married,secondary,no,551,no,no,unknown,14,jun,492,2,-1,0,unknown,no
41,38,blue-collar,married,primary,no,-452,no,no,cellular,20,apr,168,2,165,4,failure,no
42,31,admin.,married,secondary,no,4982,no,no,cellular,30,jul,83,1,-1,0,unknown,no
43,33,blue-collar,divorced,secondary,no,163,yes,no,unknown,16,may,103,1,-1,0,unknown,no
44,44,housemaid,married,secondary,no,48,yes,no,unknown,14,jun,180,3,-1,0,unknown,no
45,36,blue-collar,divorced,primary,no,234,no,no,unknown,24,may,132,1,-1,0,unknown,no
46,30,services,single,secondary,no,1012,yes,no,unknown,13,may,283,2,-1,0,unknown,no
47,43,management,married,tertiary,no,1414,yes,no,unknown,11,may,168,1,-1,0,unknown,no
48,53,technician,divorced,secondary,no,120,yes,no,unknown,18,may,233,2,-1,0,unknown,no
49,41,technician,married,secondary,no,327,yes,no,cellular,14,may,6,2,-1,0,unknown,no
50,49,blue-collar,married,unknown,no,239,no,no,unknown,13,may,211,2,-1,0,unknown,no
51,59,blue-collar,married,primary,no,591,yes,no,cellular,11,aug,134,1,-1,0,unknown,no
52,39,blue-collar,married,secondary,no,4122,no,no,unknown,15,jun,1207,2,-1,0,unknown,no
53,29,management,married,secondary,no,105,yes,no,cellular,5,aug,200,2,-1,0,unknown,no
54,29,blue-collar,married,primary,no,434,yes,no,unknown,8,may,152,1,-1,0,unknown,no
55,56,management,married,tertiary,no,3625,yes,no,unknown,12,may,127,3,-1,0,unknown,no
56,36,management,single,tertiary,no,417,no,yes,cellular,20,aug,268,2,-1,0,unknown,no
57,29,management,single,tertiary,no,1410,no,no,unknown,2,jun,69,2,-1,0,unknown,no
58,36,technician,married,secondary,no,1637,no,no,cellular,14,aug,66,2,-1,0,unknown,no
59,41,management,married,tertiary,no,105,no,no,cellular,28,aug,40,4,-1,0,unknown,no
60,27,management,married,tertiary,no,764,no,no,cellular,29,jul,45,2,-1,0,unknown,no
61,36,management,married,tertiary,no,655,no,no,cellular,27,aug,268,1,-1,0,unknown,no
62,52,admin.,married,secondary,no,121,no,no,cellular,21,jul,410,1,-1,0,unknown,no
63,60,admin.,married,secondary,no,1148,no,no,cellular,17,aug,159,1,-1,0,unknown,no
64,47,management,married,tertiary,no,192,yes,no,cellular,19,may,274,3,-1,0,unknown,no
65,50,services,married,secondary,no,1533,no,no,cellular,9,jul,198,2,-1,0,unknown,yes
66,34,technician,single,secondary,no,308,yes,no,unknown,28,may,79,1,-1,0,unknown,no
67,38,management,married,tertiary,no,1024,yes,no,unknown,13,may,97,2,-1,0,unknown,no
68,47,blue-collar,married,primary,no,361,yes,no,unknown,10,may,137,2,-1,0,unknown,no
69,36,blue-collar,married,primary,no,527,yes,no,unknown,13,may,112,1,-1,0,unknown,no
70,52,blue-collar,married,primary,no,282,yes,no,unknown,28,may,199,2,-1,0,unknown,no
71,41,self-employed,married,secondary,no,1695,yes,no,unknown,20,jun,78,1,-1,0,unknown,no
72,54,blue-collar,divorced,primary,no,2660,yes,no,cellular,21,nov,154,1,-1,0,unknown,no
73,47,blue-collar,married,primary,no,1137,yes,no,cellular,13,jul,106,1,-1,0,unknown,no
74,36,admin.,single,secondary,no,1238,yes,no,unknown,9,may,268,1,-1,0,unknown,no
75,57,management,married,tertiary,no,323,yes,no,cellular,20,may,215,1,-1,0,unknown,no
76,49,housemaid,married,primary,no,4636,no,no,cellular,23,aug,57,1,-1,0,unknown,no
77,36,blue-collar,single,secondary,no,309,yes,no,unknown,5,may,270,1,-1,0,unknown,no
78,31,management,divorced,tertiary,no,209,no,no,cellular,25,jul,120,2,-1,0,unknown,no
79,41,blue-collar,married,secondary,no,158,yes,no,unknown,15,may,149,1,-1,0,unknown,no
80,53,technician,married,secondary,no,1263,no,no,cellular,12,jul,253,1,-1,0,unknown,no
81,36,technician,married,secondary,no,353,no,no,cellular,25,aug,171,2,-1,0,unknown,no
82,35,management,married,tertiary,no,1092,no,no,cellular,14,aug,281,1,-1,0,unknown,no
83,47,management,single,tertiary,no,282,no,no,unknown,17,may,274,1,-1,0,unknown,yes
84,35,blue-collar,single,primary,no,199,no,no,cellular,22,jul,126,2,-1,0,unknown,no
85,37,technician,married,secondary,no,3026,yes,no,unknown,11,may,105,1,-1,0,unknown,no
86,37,retired,married,unknown,no,103,no,no,cellular,8,aug,76,1,-1,0,unknown,no
87,51,blue-collar,married,primary,no,159,no,no,cellular,30,apr,125,6,-1,0,unknown,no
88,33,management,single,tertiary,no,1254,yes,no,cellular,29,may,159,2,-1,0,unknown,yes
89,51,management,married,tertiary,no,1062,no,no,cellular,26,aug,428,5,-1,0,unknown,no
90,51,admin.,single,secondary,no,1195,no,no,unknown,10,may,287,1,-1,0,unknown,no
91,41,management,divorced,tertiary,no,446,yes,no,cellular,11,jul,403,2,-1,0,unknown,no
92,44,management,married,tertiary,no,0,yes,no,unknown,29,may,121,2,-1,0,unknown,no
93,37,housemaid,single,primary,no,93,no,no,unknown,1,jun,330,1,-1,0,unknown,no
94,46,admin.,single,secondary,no,130,yes,no,unknown,13,may,122,2,-1,0,unknown,no
95,47,blue-collar,married,primary,no,117,yes,no,unknown,12,jun,364,1,-1,0,unknown,no
96,28,admin.,married,secondary,no,3025,no,no,unknown,17,jun,78,2,-1,0,unknown,no
97,24,management,single,tertiary,no,933,no,no,cellular,2,apr,248,4,-1,0,unknown,no
98,44,admin.,married,secondary,no,195,no,no,cellular,26,aug,110,2,-1,0,unknown,no
99,34,blue-collar,married,secondary,no,7850,no,no,cellular,21,aug,147,1,-1,0,unknown,no
100,30,blue-collar,married,primary,no,154,yes,no,cellular,20,jul,124,4,-1,0,unknown,yes
101,41,admin.,married,secondary,no,1123,yes,no,cellular,3,may,542,2,347,1,failure,no
102,48,blue-collar,married,secondary,no,253,yes,no,unknown,28,jun,166,1,-1,0,unknown,no
103,37,management,married,tertiary,no,439,yes,no,unknown,4,may,12,1,-1,0,unknown,no
104,41,admin.,married,secondary,no,201,yes,no,cellular,17,nov,132,1,-1,0,unknown,no
105,34,management,single,tertiary,no,227,yes,no,cellular,28,feb,87,2,-1,0,unknown,no
106,59,blue-collar,married,unknown,no,358,yes,no,cellular,10,may,138,3,-1,0,unknown,no
107,45,blue-collar,married,unknown,no,200,no,no,unknown,11,jun,157,3,-1,0,unknown,no
108,41,services,married,secondary,no,194,yes,no,unknown,20,may,844,3,-1,0,unknown,no
109,35,retired,divorced,secondary,no,87,yes,no,cellular,12,may,57,2,-1,0,unknown,no
110,39,retired,married,secondary,no,178,yes,no,unknown,5,may,74,3,-1,0,unknown,no
111,47,management,married,secondary,no,719,no,no,cellular,4,feb,153,2,-1,0,unknown,yes
112,36,blue-collar,married,secondary,no,45,yes,no,unknown,18,may,591,2,-1,0,unknown,no
113,28,blue-collar,single,primary,no,163,no,no,cellular,2,feb,229,1,-1,0,unknown,no
114,52,retired,married,secondary,no,-71,no,no,cellular,17,nov,82,3,-1,0,unknown,no
115,35,self-employed,divorced,secondary,no,299,no,no,unknown,20,jun,55,3,-1,0,unknown,no
116,43,services,married,secondary,no,122,yes,no,cellular,18,may,241,1,130,1,failure,no
117,28,technician,single,secondary,no,1615,yes,no,unknown,18,may,404,1,-1,0,unknown,no
118,50,blue-collar,married,secondary,no,0,yes,no,unknown,12,may,60,2,-1,0,unknown,no
119,33,blue-collar,divorced,secondary,no,74,yes,no,unknown,6,may,62,1,-1,0,unknown,no
120,29,management,single,tertiary,no,403,no,no,unknown,20,jun,520,2,-1,0,unknown,no
121,54,services,single,secondary,no,814,yes,yes,unknown,12,may,262,4,-1,0,unknown,no
122,56,admin.,married,secondary,no,1681,yes,no,telephone,16,may,268,3,-1,0,unknown,no
123,49,blue-collar,married,primary,no,233,no,no,telephone,19,nov,31,6,-1,0,unknown,no
124,39,blue-collar,married,secondary,no,354,yes,no,unknown,20,may,345,2,-1,0,unknown,no
125,33,admin.,divorced,secondary,no,1505,yes,no,unknown,20,may,159,1,-1,0,unknown,no
126,34,student,single,tertiary,no,3050,no,yes,cellular,9,feb,1068,3,182,1,failure,no
127,51,admin.,married,secondary,no,836,yes,no,unknown,11,may,108,3,-1,0,unknown,no
128,34,management,married,tertiary,no,1316,no,yes,cellular,23,aug,117,12,-1,0,unknown,no
129,32,blue-collar,married,secondary,no,-356,no,no,cellular,13,jul,105,6,-1,0,unknown,no
130,36,blue-collar,married,secondary,no,201,yes,no,cellular,28,may,148,1,171,1,failure,no
131,46,management,married,tertiary,no,87,no,no,cellular,20,jul,138,2,183,2,failure,no
132,36,blue-collar,single,secondary,no,178,yes,no,cellular,2,may,139,2,178,15,success,no
133,25,blue-collar,single,secondary,no,631,no,no,cellular,17,nov,13,1,-1,0,unknown,no
134,52,management,married,tertiary,no,1088,no,no,cellular,28,nov,131,2,-1,0,unknown,no
135,31,blue-collar,divorced,primary,no,180,yes,no,cellular,16,apr,121,2,-1,0,unknown,no
136,35,management,single,tertiary,no,1377,no,no,cellular,13,aug,105,2,-1,0,unknown,no
137,46,management,married,tertiary,no,228,no,no,cellular,7,aug,137,2,-1,0,unknown,no
138,41,management,married,tertiary,no,1788,no,no,cellular,24,jul,8,1,-1,0,unknown,no
139,46,management,married,tertiary,no,2248,no,no,cellular,19,aug,113,1,-1,0,unknown,no
140,32,blue-collar,married,primary,no,114,yes,no,unknown,6,may,287,1,-1,0,unknown,no
141,37,admin.,single,secondary,no,1597,no,no,unknown,12,may,457,1,-1,0,unknown,no
142,51,blue-collar,divorced,secondary,no,33,yes,no,unknown,18,may,106,2,-1,0,unknown,no
143,60,retired,married,secondary,no,2289,yes,no,cellular,20,apr,98,5,144,1,failure,no
144,60,management,married,tertiary,no,1226,no,no,cellular,28,aug,77,1,-1,0,unknown,no
145,31,admin.,single,secondary,no,137,no,no,cellular,28,jan,205,1,-1,0,unknown,no
146,38,technician,married,secondary,no,1292,yes,no,unknown,24,may,159,2,-1,0,unknown,no
147,29,blue-collar,married,secondary,no,1421,yes,no,unknown,13,jun,151,1,-1,0,unknown,no
148,31,blue-collar,single,secondary,no,137,yes,no,cellular,13,may,581,1,-1,0,unknown,yes
149,42,self-employed,married,secondary,no,410,yes,no,unknown,9,may,148,3,-1,0,unknown,no
150,39,blue-collar,married,unknown,no,2064,yes,no,unknown,6,may,75,2,-1,0,unknown,no
151,31,blue-collar,single,secondary,no,294,yes,no,unknown,13,may,235,3,-1,0,unknown,no
152,42,services,married,secondary,no,426,yes,no,unknown,11,may,138,2,-1,0,unknown,no
153,33,blue-collar,married,primary,no,1371,yes,no,cellular,21,apr,115,3,-1,0,unknown,no
154,32,management,single,tertiary,no,1047,no,no,cellular,1,jul,101,2,-1,0,unknown,no
155,56,blue-collar,single,secondary,no,416,yes,no,unknown,21,may,293,2,-1,0,unknown,no
156,47,blue-collar,single,secondary,no,529,yes,no,cellular,5,jul,249,2,-1,0,unknown,no
157,56,blue-collar,married,secondary,no,3341,yes,no,cellular,26,feb,269,1,-1,0,unknown,no
158,45,technician,married,secondary,no,3832,yes,no,cellular,4,may,109,1,187,1,success,no
159,36,blue-collar,married,unknown,no,343,yes,no,cellular,28,jul,100,1,-1,0,unknown,no
160,33,technician,married,primary,no,1066,no,no,cellular,27,aug,159,2,-1,0,unknown,no
