,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,45,retired,single,secondary,no,3659,no,yes,cellular,20,oct,332,2,-1,0,failure,no
1,62,retired,single,tertiary,no,5236,yes,no,cellular,15,nov,19,1,92,0,unknown,no
2,42,retired,married,secondary,no,240,yes,no,cellular,6,aug,687,1,95,1,unknown,yes
3,41,management,married,tertiary,no,4961,no,no,unknown,5,dec,213,1,88,0,unknown,no
4,33,blue-collar,married,secondary,no,-1217,yes,yes,cellular,17,mar,126,1,192,1,other,no
5,37,management,married,primary,no,-696,yes,no,unknown,21,aug,402,4,-1,0,unknown,no
6,49,management,divorced,primary,no,6891,no,no,cellular,4,may,54,6,-1,1,unknown,no
7,50,management,single,tertiary,no,2804,yes,no,cellular,27,jun,191,1,-1,0,unknown,no
8,32,management,married,tertiary,no,6014,no,no,cellular,10,feb,45,4,96,1,unknown,no
9,37,blue-collar,married,tertiary,yes,-691,no,no,cellular,15,feb,22,1,178,2,success,no
10,34,management,divorced,secondary,no,3181,yes,no,unknown,19,may,89,1,0,0,failure,no
11,49,technician,single,tertiary,no,3361,no,no,telephone,29,apr,91,3,99,0,unknown,no
12,34,services,married,secondary,no,-1935,no,no,cellular,16,may,360,2,0,0,unknown,no
13,36,management,divorced,tertiary,no,-504,yes,no,cellular,19,feb,120,1,185,2,success,yes
14,59,student,married,secondary,no,5120,no,no,cellular,6,jul,567,1,95,0,unknown,no
15,47,unemployed,married,secondary,no,5147,no,no,cellular,11,jul,180,1,-1,0,unknown,no
16,50,management,married,secondary,no,907,no,no,cellular,20,apr,533,1,-1,0,unknown,no
17,41,services,married,secondary,no,2062,no,no,cellular,9,apr,1318,2,-1,0,failure,yes
18,35,admin.,single,tertiary,no,2127,no,no,cellular,15,mar,376,4,-1,0,unknown,no
19,26,technician,divorced,primary,no,992,yes,no,cellular,29,may,214,1,-1,0,unknown,no
20,43,admin.,single,secondary,no,85,yes,no,cellular,11,may,295,1,-1,0,unknown,no
21,23,management,divorced,tertiary,no,4064,yes,no,cellular,14,may,248,5,-1,0,unknown,no
22,34,technician,married,secondary,no,-3028,yes,no,cellular,11,may,185,1,-1,0,unknown,yes
23,32,technician,married,secondary,no,-1234,yes,no,cellular,23,jun,38,1,-1,1,unknown,no
24,58,management,married,primary,no,5714,yes,no,unknown,29,may,228,1,89,1,unknown,no
25,38,technician,married,tertiary,no,3381,yes,no,cellular,29,jun,408,1,-1,0,unknown,no
26,31,housemaid,married,primary,no,290,yes,no,unknown,16,jun,318,4,-1,0,unknown,no
27,35,blue-collar,single,secondary,no,3820,no,no,telephone,7,jul,165,2,120,1,unknown,no
28,31,self-employed,married,primary,no,5526,yes,no,telephone,13,nov,287,1,178,2,unknown,no
29,40,technician,married,tertiary,no,230,no,no,unknown,28,may,255,1,-1,0,unknown,no
30,55,blue-collar,married,primary,no,4249,yes,no,cellular,6,apr,215,2,-1,0,unknown,no
31,60,blue-collar,single,secondary,no,1815,no,no,cellular,21,may,503,2,-1,0,unknown,no
32,58,management,single,primary,no,3,yes,yes,cellular,19,apr,658,1,-1,0,failure,no
33,27,technician,divorced,secondary,no,-356,yes,no,unknown,15,may,334,1,-1,0,unknown,no
34,50,technician,married,tertiary,no,1106,no,no,cellular,11,aug,285,5,-1,0,unknown,no
35,26,retired,married,secondary,no,1362,yes,no,unknown,26,may,235,1,-1,0,unknown,no
36,34,blue-collar,married,primary,no,2015,no,no,cellular,22,jul,254,6,-1,0,unknown,yes
37,24,student,married,secondary,no,1020,yes,no,cellular,7,may,77,1,-1,0,unknown,no
38,41,management,single,tertiary,no,-1548,yes,no,cellular,26,may,366,1,-1,1,unknown,no
39,49,admin.,married,secondary,no,3942,no,no,cellular,20,jun,47,1,-1,0,unknown,no
40,28,management,divorced,secondary,no,574,yes,no,unknown,20,may,38,2,-1,0,unknown,no
41,26,technician,divorced,tertiary,no,-13,yes,no,cellular,5,nov,330,1,-1,0,unknown,no
42,35,blue-collar,married,tertiary,no,328,yes,no,cellular,20,jul,125,5,0,0,unknown,no
43,44,admin.,single,secondary,no,4840,yes,no,unknown,20,may,166,1,300,1,other,no
44,34,blue-collar,married,secondary,no,-1981,yes,no,unknown,15,jun,144,1,-1,1,unknown,no
45,41,blue-collar,married,secondary,no,5824,no,no,cellular,3,aug,234,1,195,3,failure,no
46,28,blue-collar,divorced,secondary,no,1110,yes,no,cellular,22,nov,336,1,120,2,failure,no
47,54,housemaid,married,primary,no,2505,no,no,cellular,9,jun,12,1,-1,0,unknown,no
48,40,services,married,secondary,no,2546,yes,no,unknown,23,may,272,1,0,0,unknown,no
49,45,retired,married,primary,no,2453,no,no,unknown,21,aug,374,2,-1,0,unknown,no
50,48,management,married,secondary,no,2361,yes,yes,unknown,6,may,102,2,-1,0,unknown,no
51,45,blue-collar,divorced,tertiary,no,1941,no,no,unknown,5,jan,259,1,-1,0,unknown,no
52,47,technician,married,secondary,no,858,yes,no,cellular,18,jul,143,1,-1,0,unknown,no
53,47,housemaid,divorced,primary,no,371,yes,no,cellular,26,may,575,1,-1,0,unknown,no
54,40,management,married,secondary,no,2568,yes,no,cellular,6,may,171,2,-1,0,unknown,no
55,42,unemployed,married,tertiary,no,666,no,yes,cellular,22,apr,582,1,186,1,success,no
56,31,blue-collar,married,secondary,no,3591,no,no,unknown,26,may,180,2,0,0,other,no
57,38,blue-collar,married,tertiary,no,2218,yes,no,unknown,5,may,132,1,167,2,unknown,no
58,34,blue-collar,married,tertiary,no,338,yes,no,telephone,5,apr,117,1,185,2,success,no
59,51,retired,married,unknown,no,2648,no,no,cellular,29,may,328,2,-1,0,unknown,no
60,37,services,single,tertiary,no,-2789,yes,no,cellular,6,jul,82,2,-1,0,unknown,no
