,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,47,technician,married,secondary,no,346,yes,no,cellular,7,feb,18,7,-1,0,unknown,no
1,34,management,married,tertiary,no,912,no,no,cellular,6,aug,13,3,-1,0,unknown,no
2,49,entrepreneur,married,secondary,no,-36,no,yes,unknown,26,may,120,1,-1,0,unknown,no
3,36,management,single,tertiary,no,330,no,no,cellular,23,jul,77,2,-1,0,unknown,no
4,23,blue-collar,single,secondary,no,-194,no,yes,cellular,5,feb,70,1,230,1,failure,no
5,38,self-employed,single,secondary,no,-851,no,no,cellular,18,aug,116,2,-1,0,unknown,no
6,37,technician,married,secondary,no,1247,no,no,cellular,13,aug,387,2,-1,0,unknown,yes
7,37,management,married,tertiary,no,590,yes,no,cellular,31,may,551,1,140,6,failure,no
8,52,admin.,married,secondary,no,601,no,no,cellular,9,apr,82,1,186,6,failure,no
9,52,retired,married,secondary,no,311,no,no,unknown,5,may,253,2,-1,0,unknown,no
10,36,management,married,tertiary,no,549,no,no,cellular,29,jan,160,2,-1,0,unknown,no
11,62,management,married,tertiary,no,920,yes,no,cellular,23,jul,49,2,-1,0,unknown,no
12,30,management,single,tertiary,no,-51,yes,no,unknown,7,may,456,2,-1,0,unknown,no
13,32,student,married,secondary,no,89,yes,no,cellular,19,may,376,1,-1,0,unknown,no
14,58,technician,married,secondary,no,321,no,no,cellular,7,aug,246,4,-1,0,unknown,no
15,37,admin.,married,secondary,no,1289,yes,no,cellular,17,jul,1003,1,-1,0,unknown,yes
16,43,admin.,married,secondary,no,332,yes,no,cellular,6,may,63,1,359,1,failure,no
17,26,management,single,tertiary,no,77,yes,no,cellular,18,may,99,1,352,1,failure,no
18,50,blue-collar,married,primary,no,-19,no,yes,cellular,9,feb,5,7,-1,0,unknown,no
19,56,management,married,tertiary,no,146,yes,no,cellular,18,may,8,8,109,10,failure,no
20,41,admin.,married,secondary,no,696,no,no,cellular,25,jul,141,7,-1,0,unknown,no
21,36,management,married,tertiary,no,188,no,no,cellular,16,jul,370,4,-1,0,unknown,no
22,48,admin.,married,secondary,no,240,yes,no,cellular,12,may,306,1,-1,0,unknown,no
23,33,admin.,married,secondary,no,-274,yes,yes,cellular,4,feb,315,1,144,1,failure,no
24,38,management,married,tertiary,no,-630,yes,no,cellular,14,may,272,3,-1,0,unknown,no
25,37,admin.,married,secondary,no,-26,yes,no,unknown,23,may,153,7,-1,0,unknown,no
26,39,self-employed,married,secondary,no,131,no,no,cellular,17,aug,81,10,-1,0,unknown,no
27,52,technician,married,tertiary,no,1435,no,no,unknown,7,may,386,2,-1,1,failure,no
28,36,management,married,tertiary,no,-16,yes,no,unknown,18,jun,414,1,-1,0,unknown,no
29,35,technician,married,tertiary,no,289,no,no,unknown,22,jun,154,4,-1,0,unknown,no
30,47,services,married,secondary,no,805,yes,no,unknown,20,may,215,1,-1,0,unknown,no
31,36,technician,single,secondary,no,2553,yes,no,cellular,15,apr,53,2,-1,0,unknown,no
32,29,services,married,secondary,no,688,yes,no,cellular,3,aug,128,2,-1,0,unknown,no
33,30,blue-collar,married,primary,no,508,no,yes,cellular,7,feb,11,13,-1,0,unknown,no
34,34,blue-collar,single,secondary,no,1165,yes,no,cellular,14,may,366,1,263,7,failure,no
35,41,technician,married,secondary,no,-30,yes,no,cellular,31,may,447,1,373,1,failure,no
36,41,unemployed,single,secondary,no,-91,yes,no,unknown,5,may,188,2,-1,0,unknown,no
37,30,technician,single,secondary,no,172,yes,no,unknown,6,may,72,1,-1,0,unknown,no
38,30,technician,married,secondary,no,935,no,yes,cellular,9,jan,229,2,-1,0,unknown,no
39,44,admin.,married,secondary,no,3761,yes,no,cellular,18,aug,226,4,-1,0,unknown,no
40,40,technician,married,secondary,no,-39,no,no,cellular,31,aug,68,9,-1,0,unknown,no
41,28,blue-collar,single,secondary,no,233,yes,yes,cellular,5,may,87,1,277,1,failure,no
42,33,technician,married,secondary,no,764,yes,no,cellular,8,jul,83,2,-1,0,unknown,no
43,36,entrepreneur,married,tertiary,no,136,no,no,cellular,7,feb,11,9,-1,0,unknown,no
44,51,blue-collar,married,primary,no,248,yes,no,unknown,6,may,547,2,-1,0,unknown,no
45,40,self-employed,married,secondary,no,86,no,no,unknown,8,may,99,2,-1,0,unknown,no
46,42,technician,married,secondary,no,555,yes,no,unknown,19,jun,204,1,-1,0,unknown,no
47,27,blue-collar,single,secondary,no,90,yes,no,unknown,15,may,137,1,-1,0,unknown,no
48,33,admin.,single,secondary,no,1301,yes,no,unknown,20,jun,59,2,-1,0,unknown,no
49,32,services,single,secondary,no,207,yes,no,cellular,4,may,54,2,-1,0,unknown,no
50,44,management,married,tertiary,no,166,no,no,cellular,6,aug,89,2,-1,0,unknown,no
51,49,blue-collar,married,secondary,no,123,yes,yes,cellular,15,may,135,3,372,1,failure,no
52,35,blue-collar,married,primary,no,543,yes,no,unknown,7,jun,59,1,-1,0,unknown,no
53,36,services,married,secondary,no,510,yes,no,cellular,7,jul,59,2,-1,0,unknown,no
54,53,technician,married,secondary,no,20044,yes,no,cellular,20,aug,263,16,-1,0,unknown,no
55,32,self-employed,single,tertiary,no,203,yes,yes,cellular,18,may,202,1,-1,0,unknown,no
56,39,management,married,tertiary,no,361,yes,no,unknown,8,may,11,1,-1,0,other,no
57,48,technician,married,secondary,no,-404,no,no,unknown,9,may,2209,1,-1,0,unknown,no
58,35,admin.,single,secondary,no,403,yes,no,cellular,13,aug,227,3,-1,0,unknown,no
59,55,technician,married,secondary,no,1151,yes,no,unknown,7,may,122,1,-1,0,unknown,no
60,57,technician,married,secondary,no,-87,yes,no,unknown,14,may,99,2,-1,0,unknown,no
61,33,housemaid,married,primary,no,843,no,no,cellular,6,jul,138,1,-1,0,unknown,no
62,37,technician,single,secondary,no,984,yes,no,cellular,6,aug,318,1,-1,0,unknown,no
63,24,admin.,married,secondary,no,104,yes,yes,unknown,23,may,144,1,-1,0,unknown,no
64,35,technician,single,secondary,no,-27,no,no,cellular,5,jun,171,1,-1,0,unknown,no
65,26,blue-collar,married,secondary,no,719,yes,no,cellular,8,may,287,1,349,1,failure,no
66,28,management,single,tertiary,no,73,yes,no,cellular,21,may,429,1,362,1,failure,no
67,43,self-employed,married,secondary,no,664,yes,no,cellular,24,jul,64,1,-1,0,unknown,no
68,45,self-employed,married,secondary,no,-366,no,no,unknown,4,jun,259,3,-1,0,unknown,no
69,37,unemployed,single,secondary,no,7706,yes,no,cellular,19,may,136,3,-1,0,unknown,no
70,30,management,single,secondary,no,440,yes,no,cellular,12,jul,426,3,-1,0,unknown,no
